 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
3189,46.833,44.432,29.923,55.412,50.476,34.730,53.903,33.312,45.778,46.568,54.333,43.865,44.346,36.486,55.806,46.731,48.324,47.115,53.088,40.059,61.423,48.750,44.800,45.167,48.562,30.029,40.688,48.235,30.000,36.176,27.808,28.088,23.935,42.968,35.808,52.094,32.548,21.118,23.281,48.524,42.308,43.588,46.375,40.500,43.810,34.000,17.031,36.065,22.441,33.161
3190,48.361,43.622,28.154,51.735,49.571,34.216,53.806,34.250,45.028,46.703,53.667,44.135,44.577,36.108,54.694,46.654,50.912,46.231,48.735,40.471,60.192,48.969,45.500,48.833,50.781,27.147,40.750,48.529,31.471,39.294,27.192,27.412,23.323,43.161,34.346,50.500,32.806,23.647,25.906,50.381,42.962,41.441,44.250,37.577,46.762,34.765,17.781,34.387,21.324,31.903
3191,46.667,44.270,28.923,50.765,48.048,35.378,53.903,33.156,43.583,45.730,53.810,47.027,43.269,35.189,56.278,45.000,47.912,45.000,47.206,41.471,62.077,49.094,43.300,45.833,51.594,30.853,41.312,49.118,31.088,37.412,28.000,25.353,24.097,41.258,33.962,51.750,29.903,21.324,24.844,49.095,39.462,44.324,43.375,37.577,46.619,35.382,16.094,35.355,21.000,32.903
3192,46.167,43.432,29.038,46.794,46.238,35.216,54.161,36.688,42.806,45.486,54.857,45.676,41.577,34.973,53.750,44.615,48.971,47.769,50.618,40.265,59.462,49.344,46.450,45.167,49.656,27.882,40.750,50.176,32.647,39.529,26.538,26.559,23.129,40.161,34.385,51.094,31.677,21.882,24.031,47.810,41.423,42.029,43.125,41.654,46.000,33.941,18.531,35.710,21.794,32.581
3193,45.389,42.946,28.346,46.206,48.476,34.378,54.387,33.812,47.194,46.973,55.143,44.649,42.654,34.351,54.389,45.154,47.882,45.269,49.500,37.794,63.269,48.594,49.500,44.639,49.875,29.912,40.125,48.235,33.265,38.735,27.269,26.676,24.097,43.194,34.423,51.781,28.387,20.912,23.375,48.810,40.231,40.941,49.125,37.615,48.524,35.294,17.562,34.806,21.971,32.903
3194,44.639,45.189,29.885,45.971,44.571,34.892,52.323,32.625,46.028,45.946,55.190,44.135,42.846,35.459,54.056,46.077,48.647,43.923,49.765,38.441,61.462,48.562,45.450,45.861,48.250,29.324,38.562,46.412,32.882,35.676,26.692,27.265,24.387,42.161,35.308,53.156,32.323,22.441,24.938,49.286,40.308,42.147,44.938,38.962,46.286,32.059,16.000,35.903,21.882,32.000
3195,45.861,45.595,29.731,43.441,45.571,33.595,52.226,33.125,44.500,47.243,58.190,44.892,41.538,35.270,53.750,46.269,49.941,42.962,51.912,39.059,62.692,51.844,45.500,47.361,49.562,28.618,40.250,49.971,31.471,36.471,28.654,26.382,23.387,41.032,34.231,50.594,29.710,21.353,26.469,49.476,38.038,42.235,42.000,38.000,46.333,33.676,17.562,35.000,20.735,31.484
3196,46.972,42.919,28.923,47.088,47.000,32.351,54.032,32.781,44.833,47.946,52.476,43.784,42.615,34.162,54.250,45.654,49.353,45.538,50.000,37.794,61.000,50.750,46.700,47.694,49.469,28.971,40.875,49.088,32.118,37.882,28.577,25.824,23.742,43.258,34.231,51.906,30.871,22.529,23.406,46.810,41.038,44.118,43.125,36.885,46.905,32.235,17.469,36.226,21.324,31.355
3197,46.139,43.730,29.692,54.382,53.286,35.595,54.806,32.844,43.778,45.919,55.000,42.216,41.923,36.054,54.417,45.192,46.882,45.923,51.412,36.618,61.231,50.719,46.000,46.639,47.656,28.206,42.688,50.147,33.471,37.559,28.115,25.912,24.161,42.452,32.692,52.719,28.548,21.412,23.188,47.524,39.423,44.059,44.312,38.846,46.286,33.882,17.562,35.065,20.412,32.065
3198,45.639,45.730,28.115,65.000,56.048,34.946,52.387,35.875,42.333,47.973,56.143,45.541,43.385,35.838,55.417,48.269,46.353,42.500,48.882,38.676,62.192,50.938,45.600,47.056,47.781,29.412,41.875,48.059,31.324,36.853,27.538,28.794,24.742,42.452,35.154,52.531,29.097,23.000,24.625,49.524,40.923,42.765,45.375,38.462,45.952,35.000,16.469,33.968,21.882,31.065
